[MESH] Max bdr attr: 1
  attr 1 : 380 bdr elements
[BC] ess_tdof_list size = 402
LAYER=16 / layers=129  idx=49561 / solSize=50311
LAYER=45 / layers=129  idx=44155 / solSize=50311
LAYER=99 / layers=129  idx=20683 / solSize=50311
LAYER=47 / layers=129  idx=43660 / solSize=50311
LAYER=129 / layers=129  idx=774 / solSize=50311
LAYER=119 / layers=129  idx=7918 / solSize=50311
LAYER=113 / layers=129  idx=12294 / solSize=50311
LAYER=57 / layers=129  idx=40632 / solSize=50311
LAYER=39 / layers=129  idx=45802 / solSize=50311
LAYER=44 / layers=129  idx=44574 / solSize=50311
LAYER=45 / layers=129  idx=44127 / solSize=50311
LAYER=29 / layers=129  idx=47820 / solSize=50311
LAYER=104 / layers=129  idx=17748 / solSize=50311
LAYER=79 / layers=129  idx=31565 / solSize=50311
LAYER=99 / layers=129  idx=20781 / solSize=50311
LAYER=66 / layers=129  idx=37376 / solSize=50311
LAYER=95 / layers=129  idx=23142 / solSize=50311
LAYER=97 / layers=129  idx=22017 / solSize=50311
LAYER=122 / layers=129  idx=5891 / solSize=50311
LAYER=92 / layers=129  idx=25004 / solSize=50311
LAYER=102 / layers=129  idx=19386 / solSize=50311
LAYER=102 / layers=129  idx=18839 / solSize=50311
LAYER=123 / layers=129  idx=4942 / solSize=50311
LAYER=128 / layers=129  idx=833 / solSize=50311
LAYER=117 / layers=129  idx=9294 / solSize=50311
LAYER=82 / layers=129  idx=29952 / solSize=50311
LAYER=15 / layers=129  idx=49637 / solSize=50311
LAYER=104 / layers=129  idx=18022 / solSize=50311
LAYER=61 / layers=129  idx=39078 / solSize=50311
LAYER=82 / layers=129  idx=30128 / solSize=50311
LAYER=69 / layers=129  idx=35954 / solSize=50311
LAYER=86 / layers=129  idx=28210 / solSize=50311
LAYER=75 / layers=129  idx=33605 / solSize=50311
LAYER=74 / layers=129  idx=33772 / solSize=50311
LAYER=112 / layers=129  idx=12856 / solSize=50311
LAYER=119 / layers=129  idx=7684 / solSize=50311
LAYER=71 / layers=129  idx=35319 / solSize=50311
LAYER=76 / layers=129  idx=32800 / solSize=50311
LAYER=98 / layers=129  idx=21450 / solSize=50311
LAYER=73 / layers=129  idx=34462 / solSize=50311
LAYER=93 / layers=129  idx=24574 / solSize=50311
LAYER=84 / layers=129  idx=29390 / solSize=50311
LAYER=7 / layers=129  idx=50175 / solSize=50311
LAYER=91 / layers=129  idx=25723 / solSize=50311
LAYER=78 / layers=129  idx=31901 / solSize=50311
LAYER=127 / layers=129  idx=1612 / solSize=50311
LAYER=31 / layers=129  idx=47344 / solSize=50311
LAYER=116 / layers=129  idx=9647 / solSize=50311
LAYER=72 / layers=129  idx=34930 / solSize=50311
LAYER=90 / layers=129  idx=26034 / solSize=50311
LAYER=125 / layers=129  idx=3772 / solSize=50311
LAYER=98 / layers=129  idx=21645 / solSize=50311
LAYER=120 / layers=129  idx=7250 / solSize=50311
LAYER=107 / layers=129  idx=16133 / solSize=50311
LAYER=99 / layers=129  idx=21104 / solSize=50311
LAYER=112 / layers=129  idx=12976 / solSize=50311
LAYER=58 / layers=129  idx=40256 / solSize=50311
LAYER=93 / layers=129  idx=24391 / solSize=50311
LAYER=64 / layers=129  idx=37947 / solSize=50311
LAYER=127 / layers=129  idx=2016 / solSize=50311
LAYER=127 / layers=129  idx=2291 / solSize=50311
LAYER=124 / layers=129  idx=4511 / solSize=50311
LAYER=17 / layers=129  idx=49455 / solSize=50311
LAYER=85 / layers=129  idx=28622 / solSize=50311
LAYER=95 / layers=129  idx=23313 / solSize=50311
LAYER=26 / layers=129  idx=48244 / solSize=50311
LAYER=44 / layers=129  idx=44561 / solSize=50311
LAYER=117 / layers=129  idx=9118 / solSize=50311
LAYER=123 / layers=129  idx=4981 / solSize=50311
LAYER=113 / layers=129  idx=12131 / solSize=50311
LAYER=14 / layers=129  idx=49743 / solSize=50311
LAYER=28 / layers=129  idx=48032 / solSize=50311
LAYER=31 / layers=129  idx=47465 / solSize=50311
LAYER=69 / layers=129  idx=36090 / solSize=50311
LAYER=109 / layers=129  idx=14432 / solSize=50311
LAYER=114 / layers=129  idx=11195 / solSize=50311
LAYER=117 / layers=129  idx=9019 / solSize=50311
LAYER=94 / layers=129  idx=23992 / solSize=50311
LAYER=64 / layers=129  idx=37853 / solSize=50311
LAYER=32 / layers=129  idx=47169 / solSize=50311
LAYER=92 / layers=129  idx=25047 / solSize=50311
LAYER=88 / layers=129  idx=26914 / solSize=50311
LAYER=121 / layers=129  idx=6709 / solSize=50311
LAYER=64 / layers=129  idx=37954 / solSize=50311
LAYER=104 / layers=129  idx=17780 / solSize=50311
LAYER=115 / layers=129  idx=10359 / solSize=50311
LAYER=102 / layers=129  idx=19041 / solSize=50311
LAYER=88 / layers=129  idx=27164 / solSize=50311
LAYER=51 / layers=129  idx=42460 / solSize=50311
LAYER=102 / layers=129  idx=19363 / solSize=50311
LAYER=34 / layers=129  idx=46905 / solSize=50311
LAYER=86 / layers=129  idx=28123 / solSize=50311
LAYER=59 / layers=129  idx=39922 / solSize=50311
LAYER=85 / layers=129  idx=28711 / solSize=50311
LAYER=28 / layers=129  idx=47954 / solSize=50311
LAYER=59 / layers=129  idx=39801 / solSize=50311
LAYER=109 / layers=129  idx=14618 / solSize=50311
LAYER=43 / layers=129  idx=44887 / solSize=50311
LAYER=116 / layers=129  idx=10113 / solSize=50311
LAYER=122 / layers=129  idx=5528 / solSize=50311
LAYER=127 / layers=129  idx=1890 / solSize=50311
LAYER=22 / layers=129  idx=48888 / solSize=50311
LAYER=124 / layers=129  idx=3856 / solSize=50311
LAYER=86 / layers=129  idx=28163 / solSize=50311
LAYER=88 / layers=129  idx=27205 / solSize=50311
LAYER=92 / layers=129  idx=25129 / solSize=50311
LAYER=108 / layers=129  idx=15052 / solSize=50311
LAYER=113 / layers=129  idx=11730 / solSize=50311
LAYER=60 / layers=129  idx=39391 / solSize=50311
LAYER=44 / layers=129  idx=44614 / solSize=50311
LAYER=115 / layers=129  idx=10695 / solSize=50311
LAYER=84 / layers=129  idx=29389 / solSize=50311
LAYER=110 / layers=129  idx=14036 / solSize=50311
LAYER=81 / layers=129  idx=30803 / solSize=50311
LAYER=122 / layers=129  idx=5527 / solSize=50311
LAYER=88 / layers=129  idx=27089 / solSize=50311
LAYER=93 / layers=129  idx=24275 / solSize=50311
LAYER=33 / layers=129  idx=47104 / solSize=50311
LAYER=129 / layers=129  idx=0 / solSize=50311
LAYER=129 / layers=129  idx=97 / solSize=50311
LAYER=129 / layers=129  idx=194 / solSize=50311
LAYER=129 / layers=129  idx=290 / solSize=50311
LAYER=129 / layers=129  idx=387 / solSize=50311
LAYER=129 / layers=129  idx=484 / solSize=50311
LAYER=129 / layers=129  idx=580 / solSize=50311
LAYER=129 / layers=129  idx=677 / solSize=50311
Update boundaries
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(0) V=0 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(1) V=1.39025 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(2) V=0.399776 #verts=51
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(3) V=-1.17735 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(4) V=1.0061 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(5) V=-1.30031 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(6) V=-0.542283 #verts=51
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(7) V=0.0306493 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
[RUN] begin: sol size=50311
[RUN] solutionVector finite at entry? yes
[MESH] Max bdr attr: 1
  attr 1 : 380 bdr elements
[BC] ess_tdof_list size = 402
LAYER=38 / layers=129  idx=45904 / solSize=50311
LAYER=66 / layers=129  idx=37399 / solSize=50311
LAYER=88 / layers=129  idx=26915 / solSize=50311
LAYER=107 / layers=129  idx=15955 / solSize=50311
LAYER=58 / layers=129  idx=40232 / solSize=50311
LAYER=90 / layers=129  idx=25916 / solSize=50311
LAYER=77 / layers=129  idx=32298 / solSize=50311
LAYER=89 / layers=129  idx=26536 / solSize=50311
LAYER=99 / layers=129  idx=21132 / solSize=50311
LAYER=107 / layers=129  idx=15813 / solSize=50311
LAYER=69 / layers=129  idx=36228 / solSize=50311
LAYER=54 / layers=129  idx=41684 / solSize=50311
LAYER=95 / layers=129  idx=23508 / solSize=50311
LAYER=91 / layers=129  idx=25304 / solSize=50311
LAYER=55 / layers=129  idx=41337 / solSize=50311
LAYER=121 / layers=129  idx=6027 / solSize=50311
LAYER=59 / layers=129  idx=39973 / solSize=50311
LAYER=118 / layers=129  idx=8390 / solSize=50311
LAYER=103 / layers=129  idx=18746 / solSize=50311
LAYER=113 / layers=129  idx=11719 / solSize=50311
LAYER=23 / layers=129  idx=48757 / solSize=50311
LAYER=19 / layers=129  idx=49183 / solSize=50311
LAYER=60 / layers=129  idx=39659 / solSize=50311
LAYER=106 / layers=129  idx=16505 / solSize=50311
LAYER=82 / layers=129  idx=29951 / solSize=50311
LAYER=66 / layers=129  idx=37398 / solSize=50311
LAYER=120 / layers=129  idx=7300 / solSize=50311
LAYER=71 / layers=129  idx=35339 / solSize=50311
LAYER=88 / layers=129  idx=27335 / solSize=50311
LAYER=129 / layers=129  idx=431 / solSize=50311
LAYER=45 / layers=129  idx=44325 / solSize=50311
LAYER=105 / layers=129  idx=17219 / solSize=50311
LAYER=49 / layers=129  idx=43239 / solSize=50311
LAYER=70 / layers=129  idx=35684 / solSize=50311
LAYER=83 / layers=129  idx=29456 / solSize=50311
LAYER=101 / layers=129  idx=19595 / solSize=50311
LAYER=92 / layers=129  idx=25176 / solSize=50311
LAYER=66 / layers=129  idx=37152 / solSize=50311
LAYER=127 / layers=129  idx=1719 / solSize=50311
LAYER=89 / layers=129  idx=26802 / solSize=50311
LAYER=87 / layers=129  idx=27594 / solSize=50311
LAYER=95 / layers=129  idx=23142 / solSize=50311
LAYER=124 / layers=129  idx=4154 / solSize=50311
LAYER=117 / layers=129  idx=9150 / solSize=50311
LAYER=115 / layers=129  idx=10948 / solSize=50311
LAYER=103 / layers=129  idx=18299 / solSize=50311
LAYER=128 / layers=129  idx=1377 / solSize=50311
LAYER=103 / layers=129  idx=18392 / solSize=50311
LAYER=112 / layers=129  idx=12848 / solSize=50311
LAYER=84 / layers=129  idx=28892 / solSize=50311
LAYER=59 / layers=129  idx=40036 / solSize=50311
LAYER=53 / layers=129  idx=41990 / solSize=50311
LAYER=82 / layers=129  idx=30091 / solSize=50311
LAYER=125 / layers=129  idx=3544 / solSize=50311
LAYER=125 / layers=129  idx=3537 / solSize=50311
LAYER=119 / layers=129  idx=7732 / solSize=50311
LAYER=101 / layers=129  idx=19876 / solSize=50311
LAYER=64 / layers=129  idx=37988 / solSize=50311
LAYER=93 / layers=129  idx=24316 / solSize=50311
LAYER=73 / layers=129  idx=34245 / solSize=50311
LAYER=56 / layers=129  idx=40840 / solSize=50311
LAYER=68 / layers=129  idx=36455 / solSize=50311
LAYER=88 / layers=129  idx=27193 / solSize=50311
LAYER=86 / layers=129  idx=28148 / solSize=50311
LAYER=100 / layers=129  idx=20125 / solSize=50311
LAYER=111 / layers=129  idx=13336 / solSize=50311
LAYER=111 / layers=129  idx=13601 / solSize=50311
LAYER=106 / layers=129  idx=16484 / solSize=50311
LAYER=87 / layers=129  idx=27368 / solSize=50311
LAYER=110 / layers=129  idx=13906 / solSize=50311
LAYER=28 / layers=129  idx=47965 / solSize=50311
LAYER=112 / layers=129  idx=12862 / solSize=50311
LAYER=67 / layers=129  idx=36768 / solSize=50311
LAYER=61 / layers=129  idx=39101 / solSize=50311
LAYER=60 / layers=129  idx=39451 / solSize=50311
LAYER=35 / layers=129  idx=46605 / solSize=50311
LAYER=25 / layers=129  idx=48463 / solSize=50311
LAYER=21 / layers=129  idx=48961 / solSize=50311
LAYER=106 / layers=129  idx=16718 / solSize=50311
LAYER=121 / layers=129  idx=6257 / solSize=50311
LAYER=90 / layers=129  idx=26045 / solSize=50311
LAYER=64 / layers=129  idx=38113 / solSize=50311
LAYER=128 / layers=129  idx=1035 / solSize=50311
LAYER=97 / layers=129  idx=22155 / solSize=50311
LAYER=74 / layers=129  idx=33903 / solSize=50311
LAYER=67 / layers=129  idx=36910 / solSize=50311
LAYER=103 / layers=129  idx=18178 / solSize=50311
LAYER=73 / layers=129  idx=34124 / solSize=50311
LAYER=110 / layers=129  idx=14012 / solSize=50311
LAYER=70 / layers=129  idx=35516 / solSize=50311
LAYER=47 / layers=129  idx=43807 / solSize=50311
LAYER=126 / layers=129  idx=2434 / solSize=50311
LAYER=109 / layers=129  idx=14698 / solSize=50311
LAYER=54 / layers=129  idx=41411 / solSize=50311
LAYER=102 / layers=129  idx=19000 / solSize=50311
LAYER=116 / layers=129  idx=9879 / solSize=50311
LAYER=80 / layers=129  idx=31032 / solSize=50311
LAYER=128 / layers=129  idx=1018 / solSize=50311
LAYER=119 / layers=129  idx=7691 / solSize=50311
LAYER=118 / layers=129  idx=8614 / solSize=50311
LAYER=125 / layers=129  idx=3625 / solSize=50311
LAYER=89 / layers=129  idx=26597 / solSize=50311
LAYER=74 / layers=129  idx=33708 / solSize=50311
LAYER=128 / layers=129  idx=1373 / solSize=50311
LAYER=110 / layers=129  idx=14059 / solSize=50311
LAYER=96 / layers=129  idx=22528 / solSize=50311
LAYER=73 / layers=129  idx=34521 / solSize=50311
LAYER=85 / layers=129  idx=28476 / solSize=50311
LAYER=126 / layers=129  idx=2391 / solSize=50311
LAYER=114 / layers=129  idx=11532 / solSize=50311
LAYER=48 / layers=129  idx=43267 / solSize=50311
LAYER=114 / layers=129  idx=11378 / solSize=50311
LAYER=89 / layers=129  idx=26521 / solSize=50311
LAYER=67 / layers=129  idx=36861 / solSize=50311
LAYER=79 / layers=129  idx=31823 / solSize=50311
LAYER=77 / layers=129  idx=32406 / solSize=50311
LAYER=94 / layers=129  idx=24021 / solSize=50311
LAYER=115 / layers=129  idx=10513 / solSize=50311
LAYER=73 / layers=129  idx=34495 / solSize=50311
LAYER=71 / layers=129  idx=34975 / solSize=50311
LAYER=102 / layers=129  idx=19112 / solSize=50311
LAYER=90 / layers=129  idx=26227 / solSize=50311
LAYER=53 / layers=129  idx=42037 / solSize=50311
LAYER=93 / layers=129  idx=24502 / solSize=50311
LAYER=56 / layers=129  idx=40833 / solSize=50311
LAYER=34 / layers=129  idx=46926 / solSize=50311
LAYER=61 / layers=129  idx=39065 / solSize=50311
LAYER=62 / layers=129  idx=38943 / solSize=50311
LAYER=29 / layers=129  idx=47859 / solSize=50311
LAYER=60 / layers=129  idx=39503 / solSize=50311
LAYER=27 / layers=129  idx=48059 / solSize=50311
LAYER=117 / layers=129  idx=9105 / solSize=50311
LAYER=47 / layers=129  idx=43667 / solSize=50311
LAYER=93 / layers=129  idx=24619 / solSize=50311
LAYER=98 / layers=129  idx=21633 / solSize=50311
LAYER=64 / layers=129  idx=38097 / solSize=50311
LAYER=103 / layers=129  idx=18377 / solSize=50311
LAYER=91 / layers=129  idx=25198 / solSize=50311
LAYER=107 / layers=129  idx=15937 / solSize=50311
LAYER=109 / layers=129  idx=14909 / solSize=50311
LAYER=57 / layers=129  idx=40697 / solSize=50311
LAYER=68 / layers=129  idx=36487 / solSize=50311
LAYER=123 / layers=129  idx=4568 / solSize=50311
LAYER=128 / layers=129  idx=1340 / solSize=50311
LAYER=73 / layers=129  idx=34110 / solSize=50311
LAYER=96 / layers=129  idx=22480 / solSize=50311
LAYER=109 / layers=129  idx=14652 / solSize=50311
LAYER=123 / layers=129  idx=4591 / solSize=50311
LAYER=49 / layers=129  idx=42968 / solSize=50311
LAYER=72 / layers=129  idx=34617 / solSize=50311
LAYER=98 / layers=129  idx=21496 / solSize=50311
LAYER=86 / layers=129  idx=28334 / solSize=50311
LAYER=124 / layers=129  idx=3880 / solSize=50311
LAYER=53 / layers=129  idx=42001 / solSize=50311
LAYER=124 / layers=129  idx=3878 / solSize=50311
LAYER=92 / layers=129  idx=24965 / solSize=50311
LAYER=119 / layers=129  idx=7514 / solSize=50311
LAYER=17 / layers=129  idx=49453 / solSize=50311
LAYER=107 / layers=129  idx=15645 / solSize=50311
LAYER=98 / layers=129  idx=21611 / solSize=50311
LAYER=116 / layers=129  idx=9713 / solSize=50311
LAYER=114 / layers=129  idx=11106 / solSize=50311
LAYER=127 / layers=129  idx=2208 / solSize=50311
LAYER=108 / layers=129  idx=15087 / solSize=50311
LAYER=67 / layers=129  idx=36667 / solSize=50311
LAYER=76 / layers=129  idx=33122 / solSize=50311
LAYER=78 / layers=129  idx=31841 / solSize=50311
LAYER=81 / layers=129  idx=30743 / solSize=50311
LAYER=96 / layers=129  idx=22472 / solSize=50311
LAYER=71 / layers=129  idx=35362 / solSize=50311
LAYER=77 / layers=129  idx=32536 / solSize=50311
LAYER=43 / layers=129  idx=44717 / solSize=50311
LAYER=100 / layers=129  idx=20345 / solSize=50311
LAYER=21 / layers=129  idx=48948 / solSize=50311
LAYER=95 / layers=129  idx=23434 / solSize=50311
LAYER=28 / layers=129  idx=47966 / solSize=50311
LAYER=118 / layers=129  idx=8723 / solSize=50311
LAYER=114 / layers=129  idx=11163 / solSize=50311
LAYER=87 / layers=129  idx=27608 / solSize=50311
LAYER=25 / layers=129  idx=48439 / solSize=50311
LAYER=109 / layers=129  idx=14884 / solSize=50311
LAYER=102 / layers=129  idx=18891 / solSize=50311
LAYER=96 / layers=129  idx=22853 / solSize=50311
LAYER=73 / layers=129  idx=34122 / solSize=50311
LAYER=98 / layers=129  idx=21379 / solSize=50311
LAYER=64 / layers=129  idx=37966 / solSize=50311
LAYER=122 / layers=129  idx=5407 / solSize=50311
LAYER=104 / layers=129  idx=17553 / solSize=50311
LAYER=31 / layers=129  idx=47419 / solSize=50311
LAYER=72 / layers=129  idx=34875 / solSize=50311
LAYER=109 / layers=129  idx=14505 / solSize=50311
LAYER=91 / layers=129  idx=25470 / solSize=50311
LAYER=92 / layers=129  idx=24827 / solSize=50311
LAYER=50 / layers=129  idx=42914 / solSize=50311
LAYER=52 / layers=129  idx=42249 / solSize=50311
LAYER=70 / layers=129  idx=35698 / solSize=50311
LAYER=58 / layers=129  idx=40112 / solSize=50311
LAYER=124 / layers=129  idx=3832 / solSize=50311
LAYER=108 / layers=129  idx=15524 / solSize=50311
LAYER=114 / layers=129  idx=11616 / solSize=50311
LAYER=129 / layers=129  idx=0 / solSize=50311
LAYER=129 / layers=129  idx=97 / solSize=50311
LAYER=129 / layers=129  idx=194 / solSize=50311
LAYER=129 / layers=129  idx=290 / solSize=50311
LAYER=129 / layers=129  idx=387 / solSize=50311
LAYER=129 / layers=129  idx=484 / solSize=50311
LAYER=129 / layers=129  idx=580 / solSize=50311
LAYER=129 / layers=129  idx=677 / solSize=50311
Update boundaries
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(0) V=0 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(1) V=-0.664287 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(2) V=0.83265 #verts=51
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(3) V=0.605672 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(4) V=0.557517 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(5) V=-0.221964 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(6) V=-0.507924 #verts=51
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(7) V=1.06782 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
[RUN] begin: sol size=50311
[RUN] solutionVector finite at entry? yes
[MESH] Max bdr attr: 1
  attr 1 : 380 bdr elements
[BC] ess_tdof_list size = 402
LAYER=69 / layers=129  idx=36020 / solSize=50311
LAYER=73 / layers=129  idx=34441 / solSize=50311
LAYER=117 / layers=129  idx=9541 / solSize=50311
LAYER=128 / layers=129  idx=1389 / solSize=50311
LAYER=43 / layers=129  idx=44670 / solSize=50311
LAYER=29 / layers=129  idx=47795 / solSize=50311
LAYER=45 / layers=129  idx=44356 / solSize=50311
LAYER=84 / layers=129  idx=28943 / solSize=50311
LAYER=91 / layers=129  idx=25516 / solSize=50311
LAYER=106 / layers=129  idx=16747 / solSize=50311
LAYER=79 / layers=129  idx=31654 / solSize=50311
LAYER=127 / layers=129  idx=2149 / solSize=50311
LAYER=78 / layers=129  idx=31849 / solSize=50311
LAYER=121 / layers=129  idx=6389 / solSize=50311
LAYER=85 / layers=129  idx=28871 / solSize=50311
LAYER=52 / layers=129  idx=42128 / solSize=50311
LAYER=94 / layers=129  idx=23666 / solSize=50311
LAYER=85 / layers=129  idx=28783 / solSize=50311
LAYER=53 / layers=129  idx=41838 / solSize=50311
LAYER=97 / layers=129  idx=22362 / solSize=50311
LAYER=128 / layers=129  idx=997 / solSize=50311
LAYER=128 / layers=129  idx=1192 / solSize=50311
LAYER=84 / layers=129  idx=29016 / solSize=50311
LAYER=104 / layers=129  idx=17692 / solSize=50311
LAYER=41 / layers=129  idx=45183 / solSize=50311
LAYER=114 / layers=129  idx=11338 / solSize=50311
LAYER=47 / layers=129  idx=43763 / solSize=50311
LAYER=118 / layers=129  idx=8535 / solSize=50311
LAYER=73 / layers=129  idx=34297 / solSize=50311
LAYER=49 / layers=129  idx=43108 / solSize=50311
LAYER=8 / layers=129  idx=50105 / solSize=50311
LAYER=106 / layers=129  idx=16711 / solSize=50311
LAYER=106 / layers=129  idx=16300 / solSize=50311
LAYER=88 / layers=129  idx=26847 / solSize=50311
LAYER=117 / layers=129  idx=9125 / solSize=50311
LAYER=95 / layers=129  idx=23067 / solSize=50311
LAYER=117 / layers=129  idx=8987 / solSize=50311
LAYER=46 / layers=129  idx=44058 / solSize=50311
LAYER=58 / layers=129  idx=40202 / solSize=50311
LAYER=65 / layers=129  idx=37665 / solSize=50311
LAYER=74 / layers=129  idx=33662 / solSize=50311
LAYER=120 / layers=129  idx=7206 / solSize=50311
LAYER=104 / layers=129  idx=17607 / solSize=50311
LAYER=101 / layers=129  idx=19960 / solSize=50311
LAYER=117 / layers=129  idx=9349 / solSize=50311
LAYER=102 / layers=129  idx=19008 / solSize=50311
