[MESH] Max bdr attr: 1
  attr 1 : 380 bdr elements
[BC] ess_tdof_list size = 402
LAYER=10 / layers=129  idx=50003 / solSize=50311
LAYER=129 / layers=129  idx=97 / solSize=50311
LAYER=129 / layers=129  idx=194 / solSize=50311
LAYER=129 / layers=129  idx=290 / solSize=50311
LAYER=129 / layers=129  idx=387 / solSize=50311
LAYER=129 / layers=129  idx=484 / solSize=50311
LAYER=129 / layers=129  idx=580 / solSize=50311
LAYER=129 / layers=129  idx=677 / solSize=50311
Update boundaries
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(0) V=0 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(1) V=-0.0406858 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(2) V=1.18432 #verts=51
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(3) V=0.563693 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(4) V=-0.274694 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(5) V=-1.02166 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(6) V=-0.310444 #verts=51
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(7) V=-0.524242 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
[RUN] begin: sol size=50311
[RUN] solutionVector finite at entry? yes
[MESH] Max bdr attr: 1
  attr 1 : 380 bdr elements
[BC] ess_tdof_list size = 402
LAYER=78 / layers=129  idx=32272 / solSize=50311
LAYER=80 / layers=129  idx=30984 / solSize=50311
LAYER=89 / layers=129  idx=26627 / solSize=50311
LAYER=103 / layers=129  idx=18687 / solSize=50311
LAYER=43 / layers=129  idx=44730 / solSize=50311
LAYER=87 / layers=129  idx=27785 / solSize=50311
LAYER=62 / layers=129  idx=38667 / solSize=50311
LAYER=41 / layers=129  idx=45377 / solSize=50311
LAYER=73 / layers=129  idx=34207 / solSize=50311
LAYER=121 / layers=129  idx=6048 / solSize=50311
LAYER=129 / layers=129  idx=731 / solSize=50311
LAYER=60 / layers=129  idx=39599 / solSize=50311
LAYER=116 / layers=129  idx=9971 / solSize=50311
LAYER=113 / layers=129  idx=11708 / solSize=50311
LAYER=49 / layers=129  idx=43154 / solSize=50311
LAYER=117 / layers=129  idx=9269 / solSize=50311
LAYER=30 / layers=129  idx=47558 / solSize=50311
LAYER=86 / layers=129  idx=28247 / solSize=50311
LAYER=128 / layers=129  idx=956 / solSize=50311
LAYER=8 / layers=129  idx=50099 / solSize=50311
LAYER=118 / layers=129  idx=8559 / solSize=50311
LAYER=54 / layers=129  idx=41404 / solSize=50311
LAYER=75 / layers=129  idx=33365 / solSize=50311
LAYER=109 / layers=129  idx=14905 / solSize=50311
LAYER=129 / layers=129  idx=234 / solSize=50311
LAYER=79 / layers=129  idx=31694 / solSize=50311
LAYER=92 / layers=129  idx=24715 / solSize=50311
LAYER=128 / layers=129  idx=1353 / solSize=50311
LAYER=41 / layers=129  idx=45257 / solSize=50311
LAYER=52 / layers=129  idx=42349 / solSize=50311
LAYER=99 / layers=129  idx=20982 / solSize=50311
LAYER=82 / layers=129  idx=30179 / solSize=50311
LAYER=72 / layers=129  idx=34769 / solSize=50311
LAYER=114 / layers=129  idx=11168 / solSize=50311
LAYER=86 / layers=129  idx=27908 / solSize=50311
LAYER=95 / layers=129  idx=23403 / solSize=50311
LAYER=109 / layers=129  idx=14777 / solSize=50311
LAYER=122 / layers=129  idx=5617 / solSize=50311
LAYER=83 / layers=129  idx=29437 / solSize=50311
LAYER=66 / layers=129  idx=37385 / solSize=50311
LAYER=81 / layers=129  idx=30640 / solSize=50311
LAYER=95 / layers=129  idx=23387 / solSize=50311
LAYER=85 / layers=129  idx=28487 / solSize=50311
LAYER=62 / layers=129  idx=38756 / solSize=50311
LAYER=100 / layers=129  idx=20347 / solSize=50311
LAYER=110 / layers=129  idx=13733 / solSize=50311
LAYER=83 / layers=129  idx=29756 / solSize=50311
LAYER=94 / layers=129  idx=23841 / solSize=50311
LAYER=107 / layers=129  idx=15731 / solSize=50311
LAYER=120 / layers=129  idx=6875 / solSize=50311
LAYER=84 / layers=129  idx=28894 / solSize=50311
LAYER=45 / layers=129  idx=44321 / solSize=50311
LAYER=71 / layers=129  idx=35328 / solSize=50311
LAYER=48 / layers=129  idx=43418 / solSize=50311
LAYER=49 / layers=129  idx=43210 / solSize=50311
LAYER=61 / layers=129  idx=39072 / solSize=50311
LAYER=49 / layers=129  idx=43234 / solSize=50311
LAYER=47 / layers=129  idx=43784 / solSize=50311
LAYER=41 / layers=129  idx=45325 / solSize=50311
LAYER=66 / layers=129  idx=37425 / solSize=50311
LAYER=128 / layers=129  idx=797 / solSize=50311
LAYER=64 / layers=129  idx=38111 / solSize=50311
LAYER=98 / layers=129  idx=21272 / solSize=50311
LAYER=42 / layers=129  idx=45064 / solSize=50311
LAYER=62 / layers=129  idx=38837 / solSize=50311
LAYER=108 / layers=129  idx=15618 / solSize=50311
LAYER=59 / layers=129  idx=39996 / solSize=50311
LAYER=125 / layers=129  idx=3398 / solSize=50311
LAYER=118 / layers=129  idx=8613 / solSize=50311
LAYER=118 / layers=129  idx=8572 / solSize=50311
LAYER=56 / layers=129  idx=40827 / solSize=50311
LAYER=117 / layers=129  idx=9349 / solSize=50311
LAYER=80 / layers=129  idx=31303 / solSize=50311
LAYER=89 / layers=129  idx=26348 / solSize=50311
LAYER=19 / layers=129  idx=49281 / solSize=50311
LAYER=108 / layers=129  idx=15002 / solSize=50311
LAYER=99 / layers=129  idx=21072 / solSize=50311
LAYER=121 / layers=129  idx=6684 / solSize=50311
LAYER=7 / layers=129  idx=50165 / solSize=50311
LAYER=96 / layers=129  idx=22425 / solSize=50311
LAYER=125 / layers=129  idx=3356 / solSize=50311
LAYER=65 / layers=129  idx=37713 / solSize=50311
LAYER=122 / layers=129  idx=5885 / solSize=50311
LAYER=79 / layers=129  idx=31822 / solSize=50311
LAYER=79 / layers=129  idx=31469 / solSize=50311
LAYER=113 / layers=129  idx=12145 / solSize=50311
LAYER=56 / layers=129  idx=40877 / solSize=50311
LAYER=24 / layers=129  idx=48568 / solSize=50311
LAYER=106 / layers=129  idx=16337 / solSize=50311
LAYER=39 / layers=129  idx=45663 / solSize=50311
LAYER=122 / layers=129  idx=5814 / solSize=50311
LAYER=112 / layers=129  idx=12374 / solSize=50311
LAYER=72 / layers=129  idx=34834 / solSize=50311
LAYER=123 / layers=129  idx=5058 / solSize=50311
LAYER=97 / layers=129  idx=22258 / solSize=50311
LAYER=72 / layers=129  idx=34893 / solSize=50311
LAYER=40 / layers=129  idx=45590 / solSize=50311
LAYER=81 / layers=129  idx=30568 / solSize=50311
LAYER=112 / layers=129  idx=13006 / solSize=50311
LAYER=110 / layers=129  idx=14180 / solSize=50311
LAYER=102 / layers=129  idx=19229 / solSize=50311
LAYER=79 / layers=129  idx=31781 / solSize=50311
LAYER=112 / layers=129  idx=12741 / solSize=50311
LAYER=52 / layers=129  idx=42278 / solSize=50311
LAYER=76 / layers=129  idx=32858 / solSize=50311
LAYER=58 / layers=129  idx=40302 / solSize=50311
LAYER=107 / layers=129  idx=16133 / solSize=50311
LAYER=98 / layers=129  idx=21269 / solSize=50311
LAYER=43 / layers=129  idx=44774 / solSize=50311
LAYER=106 / layers=129  idx=16638 / solSize=50311
LAYER=127 / layers=129  idx=1594 / solSize=50311
LAYER=96 / layers=129  idx=22482 / solSize=50311
LAYER=65 / layers=129  idx=37570 / solSize=50311
LAYER=15 / layers=129  idx=49619 / solSize=50311
LAYER=89 / layers=129  idx=26781 / solSize=50311
LAYER=121 / layers=129  idx=6026 / solSize=50311
LAYER=107 / layers=129  idx=16239 / solSize=50311
LAYER=23 / layers=129  idx=48707 / solSize=50311
LAYER=118 / layers=129  idx=8685 / solSize=50311
LAYER=87 / layers=129  idx=27777 / solSize=50311
LAYER=95 / layers=129  idx=23144 / solSize=50311
LAYER=106 / layers=129  idx=16360 / solSize=50311
LAYER=41 / layers=129  idx=45172 / solSize=50311
LAYER=59 / layers=129  idx=39888 / solSize=50311
LAYER=106 / layers=129  idx=16446 / solSize=50311
LAYER=63 / layers=129  idx=38407 / solSize=50311
LAYER=76 / layers=129  idx=33028 / solSize=50311
LAYER=29 / layers=129  idx=47844 / solSize=50311
LAYER=81 / layers=129  idx=30459 / solSize=50311
LAYER=89 / layers=129  idx=26312 / solSize=50311
LAYER=105 / layers=129  idx=17381 / solSize=50311
LAYER=65 / layers=129  idx=37793 / solSize=50311
LAYER=28 / layers=129  idx=48005 / solSize=50311
LAYER=56 / layers=129  idx=40772 / solSize=50311
LAYER=113 / layers=129  idx=12032 / solSize=50311
LAYER=89 / layers=129  idx=26690 / solSize=50311
LAYER=28 / layers=129  idx=47951 / solSize=50311
LAYER=100 / layers=129  idx=20032 / solSize=50311
LAYER=49 / layers=129  idx=42992 / solSize=50311
LAYER=65 / layers=129  idx=37565 / solSize=50311
LAYER=91 / layers=129  idx=25518 / solSize=50311
LAYER=92 / layers=129  idx=24668 / solSize=50311
LAYER=108 / layers=129  idx=15267 / solSize=50311
LAYER=107 / layers=129  idx=15706 / solSize=50311
LAYER=96 / layers=129  idx=22717 / solSize=50311
LAYER=104 / layers=129  idx=17686 / solSize=50311
LAYER=124 / layers=129  idx=4220 / solSize=50311
LAYER=62 / layers=129  idx=38719 / solSize=50311
LAYER=121 / layers=129  idx=6249 / solSize=50311
LAYER=29 / layers=129  idx=47752 / solSize=50311
LAYER=81 / layers=129  idx=30641 / solSize=50311
LAYER=79 / layers=129  idx=31562 / solSize=50311
LAYER=66 / layers=129  idx=37152 / solSize=50311
LAYER=120 / layers=129  idx=6996 / solSize=50311
LAYER=67 / layers=129  idx=36866 / solSize=50311
LAYER=104 / layers=129  idx=17710 / solSize=50311
LAYER=82 / layers=129  idx=30039 / solSize=50311
LAYER=37 / layers=129  idx=46205 / solSize=50311
LAYER=101 / layers=129  idx=19859 / solSize=50311
LAYER=90 / layers=129  idx=25782 / solSize=50311
LAYER=43 / layers=129  idx=44655 / solSize=50311
LAYER=100 / layers=129  idx=20506 / solSize=50311
LAYER=86 / layers=129  idx=28197 / solSize=50311
LAYER=61 / layers=129  idx=39084 / solSize=50311
LAYER=76 / layers=129  idx=32829 / solSize=50311
LAYER=107 / layers=129  idx=16196 / solSize=50311
LAYER=34 / layers=129  idx=46850 / solSize=50311
LAYER=114 / layers=129  idx=11221 / solSize=50311
LAYER=103 / layers=129  idx=18737 / solSize=50311
LAYER=91 / layers=129  idx=25330 / solSize=50311
LAYER=115 / layers=129  idx=10491 / solSize=50311
LAYER=40 / layers=129  idx=45435 / solSize=50311
LAYER=32 / layers=129  idx=47266 / solSize=50311
LAYER=123 / layers=129  idx=4561 / solSize=50311
LAYER=96 / layers=129  idx=22940 / solSize=50311
LAYER=111 / layers=129  idx=13277 / solSize=50311
LAYER=81 / layers=129  idx=30686 / solSize=50311
LAYER=114 / layers=129  idx=11092 / solSize=50311
LAYER=75 / layers=129  idx=33296 / solSize=50311
LAYER=28 / layers=129  idx=47937 / solSize=50311
LAYER=80 / layers=129  idx=31332 / solSize=50311
LAYER=59 / layers=129  idx=39901 / solSize=50311
LAYER=98 / layers=129  idx=21305 / solSize=50311
LAYER=35 / layers=129  idx=46634 / solSize=50311
LAYER=94 / layers=129  idx=23900 / solSize=50311
LAYER=86 / layers=129  idx=28042 / solSize=50311
LAYER=67 / layers=129  idx=36769 / solSize=50311
LAYER=52 / layers=129  idx=42222 / solSize=50311
LAYER=58 / layers=129  idx=40077 / solSize=50311
LAYER=114 / layers=129  idx=11560 / solSize=50311
LAYER=75 / layers=129  idx=33289 / solSize=50311
LAYER=121 / layers=129  idx=6581 / solSize=50311
LAYER=101 / layers=129  idx=19543 / solSize=50311
LAYER=85 / layers=129  idx=28829 / solSize=50311
LAYER=84 / layers=129  idx=28937 / solSize=50311
LAYER=116 / layers=129  idx=10181 / solSize=50311
LAYER=56 / layers=129  idx=40875 / solSize=50311
LAYER=110 / layers=129  idx=13953 / solSize=50311
LAYER=125 / layers=129  idx=3722 / solSize=50311
LAYER=116 / layers=129  idx=9988 / solSize=50311
LAYER=129 / layers=129  idx=0 / solSize=50311
LAYER=129 / layers=129  idx=97 / solSize=50311
LAYER=129 / layers=129  idx=194 / solSize=50311
LAYER=129 / layers=129  idx=290 / solSize=50311
LAYER=129 / layers=129  idx=387 / solSize=50311
LAYER=129 / layers=129  idx=484 / solSize=50311
LAYER=129 / layers=129  idx=580 / solSize=50311
LAYER=129 / layers=129  idx=677 / solSize=50311
Update boundaries
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(0) V=0 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(1) V=0.92378 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(2) V=-0.905 #verts=51
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(3) V=1.37576 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(4) V=1.28402 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(5) V=0.0013305 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(6) V=0.489385 #verts=51
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
UPDATE VOLTAGE START
[BC] updateElectrodeVoltage(7) V=-0.949336 #verts=50
[BC] solutionVector finite after write? yes
UPDATE VOLTAGE END 
[RUN] begin: sol size=50311
[RUN] solutionVector finite at entry? yes
[MESH] Max bdr attr: 1
  attr 1 : 380 bdr elements
[BC] ess_tdof_list size = 402
LAYER=122 / layers=129  idx=5870 / solSize=50311
LAYER=89 / layers=129  idx=26303 / solSize=50311
LAYER=43 / layers=129  idx=44876 / solSize=50311
LAYER=128 / layers=129  idx=1470 / solSize=50311
LAYER=102 / layers=129  idx=19232 / solSize=50311
LAYER=72 / layers=129  idx=34946 / solSize=50311
LAYER=118 / layers=129  idx=8511 / solSize=50311
LAYER=85 / layers=129  idx=28877 / solSize=50311
LAYER=122 / layers=129  idx=5340 / solSize=50311
LAYER=92 / layers=129  idx=25093 / solSize=50311
LAYER=92 / layers=129  idx=24880 / solSize=50311
LAYER=129 / layers=129  idx=490 / solSize=50311
LAYER=57 / layers=129  idx=40560 / solSize=50311
LAYER=74 / layers=129  idx=33960 / solSize=50311
LAYER=99 / layers=129  idx=20678 / solSize=50311
LAYER=31 / layers=129  idx=47518 / solSize=50311
LAYER=112 / layers=129  idx=12350 / solSize=50311
LAYER=84 / layers=129  idx=29270 / solSize=50311
LAYER=119 / layers=129  idx=7666 / solSize=50311
LAYER=114 / layers=129  idx=11444 / solSize=50311
LAYER=122 / layers=129  idx=5318 / solSize=50311
LAYER=118 / layers=129  idx=8387 / solSize=50311
LAYER=55 / layers=129  idx=41165 / solSize=50311
LAYER=123 / layers=129  idx=4973 / solSize=50311
LAYER=104 / layers=129  idx=17866 / solSize=50311
LAYER=70 / layers=129  idx=35516 / solSize=50311
LAYER=104 / layers=129  idx=17753 / solSize=50311
LAYER=82 / layers=129  idx=30321 / solSize=50311
LAYER=86 / layers=129  idx=27996 / solSize=50311
LAYER=111 / layers=129  idx=13122 / solSize=50311
LAYER=99 / layers=129  idx=20747 / solSize=50311
LAYER=98 / layers=129  idx=21682 / solSize=50311
LAYER=84 / layers=129  idx=28905 / solSize=50311
LAYER=50 / layers=129  idx=42672 / solSize=50311
LAYER=114 / layers=129  idx=11027 / solSize=50311
LAYER=28 / layers=129  idx=47899 / solSize=50311
LAYER=54 / layers=129  idx=41506 / solSize=50311
LAYER=45 / layers=129  idx=44214 / solSize=50311
LAYER=48 / layers=129  idx=43413 / solSize=50311
LAYER=114 / layers=129  idx=11475 / solSize=50311
LAYER=78 / layers=129  idx=31989 / solSize=50311
LAYER=105 / layers=129  idx=16943 / solSize=50311
LAYER=27 / layers=129  idx=48162 / solSize=50311
LAYER=109 / layers=129  idx=14475 / solSize=50311
LAYER=125 / layers=129  idx=3145 / solSize=50311
LAYER=94 / layers=129  idx=23887 / solSize=50311
